id_review,name,review,rate
0.0,Supardan bekasi,"Beli 3 buah, semua tidak ada yang keluar strum, alias mati semua.",1
1.0,saipul saipul,Barang busuk dijual...ga berfungsi,1
2.0,Faizin Arif,"Saya turunin ratingnya, karena setelah saya coba buat ngecas trnyata pengisiannya lama bgt bisa sampai satu hr lebih baru penuh, seperti tegangan 0,000003 Ampere, dan kabelnya juga gak bsa d pakai sama sekali
Kacau kali",1
3.0,robby w,kondisi mati gak bs utk cas dsb,1
4.0,sofa rohmani,respon lama,1
5.0,proyek_bdg,seller parahh . Nyesel belanja di tempat ini,1
6.0,F***n,murah tapi sayang rusak gak bisa dipakao charge,1
7.0,devi setiawan,Baru sekali pake lgsung koid kualitas,1
8.0,Ricky Ramdhanie,"harga kualitas fungsi JELEK 
baru nyoba buat contoh tadinya ,pertama kali saja sudah dikasih Barang RUSAK,maksudnya apa saya jg gk ngerti. untung saya gk pesan banyak sekaligus kemarin .Sangat tidak profesional",1
9.0,d***i,Barang jelek masa baru 1menit udh bunyi meledak trs ga bs di buat ngecash lg,1
10.0,Ricky Ramdhanie,"harga kualitas fungsi JELEK 
baru nyoba buat contoh tadinya ,pertama kali saja sudah dikasih Barang RUSAK,maksudnya apa saya jg gk ngerti. untung saya gk pesan banyak sekaligus kemarin .Sangat tidak profesional",1
11.0,e***o,"kualitas fungsi batok charger tidak bisa di pakai alias mati ,begitu barang datang  produk gagal pakai harga murah",1
12.0,Leonard Yaslim,"Begitu dicolok langsung meledak, sangat membahayakan, kualitas buruk",1
13.0,f***2,"ane cukup tau ajalah...
Beli emg murah cm 4.400,,tp ya klo bisa sesuai deskripsi jd byk costumernya ,,masa ngecas kaga penuh² smaleman...
Tp ywdlah kualitas sesuai harga...",1
14.0,Angga Raksa,"harga murah makanya saya beli 4, namun kualitas barang jelek, berfungsi cuman 3 hari, produk langsung dikomplain sama pembeli, saya malu sama pembeli.",1
15.0,reza angriawan,tidak berfungsi. kualitas buruk. produk rusak,1
16.0,junaidi,seharusnya dicek dulu klo mau kirim.. saya beli bukan minta.. 1 barang cacad parah 1 barang lagi buat ngecas gak bisa kecewa bgt beli disini.,1
17.0,S***o,"Sumpah. Jangan beli. Busuk barangnya. Beli 2 gak ada yg nyala. Dikirim juga yg udh pecah 1 biji. Klo pecah delivery pasti ada pecahannya didalem bungkusnya, lah ini engga... 

Klo niat dagang jgn bgini bosqu

fungsi kualitas produk",1
18.0,Quick Buyer,Barang baru saya pakai 1 x kira2 ada 5 menit eh d coba lagi udah gas berfungsi lagi batoknya gak bisa ngisi baterai,1
19.0,TRI CELL,"beli lima, dua tdk berfungsi..sudah jelas tdk bs digunakan msh dikirim jg",1
